"X.1","Area","Mean","Min","Max","X","Y","distance_cm","cond","day","min"
38,0,199,199,199,611,1008,13.0989422152911,"ctl","1",60
39,0,162,162,162,612,994,13.092483433365,"ctl","1",60
40,0,151,151,151,611,958,13.0965219008649,"ctl","1",60
41,0,115,115,115,615,919,13.0715096800654,"ctl","1",60
42,0,106,106,106,610,938,13.1013348689811,"ctl","1",60
43,0,179,179,179,646,912,12.8919569255569,"ctl","1",60
3,0,84,84,84,2622.667,1119,1.39207839790213,"ctl","2",1
4,0,31,31,31,2604,1109.667,1.49379052248775,"ctl","2",1
5,0,84,84,84,2637.333,1173.667,1.31392329671961,"ctl","2",1
6,0,81,81,81,2586.667,1207,1.59216745831478,"ctl","2",1
7,0,82,82,82,2492,1201.667,2.10954431992479,"ctl","2",1
8,0,70,70,70,2509.333,1147,2.01275065558359,"ctl","2",1
9,0,87,87,87,2465.333,1069.667,2.25044301370541,"ctl","2",1
10,0,65,65,65,2442.667,1192.333,2.37891723566375,"ctl","2",1
11,0,80,80,80,2394.667,1167,2.64040851516501,"ctl","2",1
12,0,80,80,80,2362.667,1193.667,2.81635232051853,"ctl","2",1
13,0,75,75,75,2369.333,1159,2.77862072633714,"ctl","2",1
14,0,73,73,73,2296,1153.667,3.17935778783831,"ctl","2",1
15,0,78,78,78,2332,1111,2.98095096729504,"ctl","2",1
16,0,77,77,77,2265.333,1107,3.34529234080451,"ctl","2",1
17,0,87,87,87,2266.667,1071,3.33666303003315,"ctl","2",1
18,0,54,54,54,2422.667,1012.333,2.48158410024244,"ctl","2",1
19,0,86,86,86,2448,981.667,2.34194251892534,"ctl","2",1
20,0,86,86,86,2365.333,953.667,2.7928704047301,"ctl","2",1
21,0,79,79,79,2258.667,980.333,3.37703707139676,"ctl","2",1
22,0,85,85,85,2238.667,945.667,3.48509706348028,"ctl","2",1
23,0,88,88,88,2281.333,943,3.25172942951858,"ctl","2",1
24,0,64,64,64,2145.333,929.667,3.9947901514027,"ctl","2",1
25,0,86,86,86,2125.333,953.667,4.10502715105635,"ctl","2",1
26,0,77,77,77,2140,1021.667,4.02736135025481,"ctl","2",1
27,0,83,83,83,2172,1060.333,3.85384195487606,"ctl","2",1
28,0,78,78,78,2129.333,1144.333,4.09023320221661,"ctl","2",1
29,0,67,67,67,2110.667,1164.333,4.19302836326753,"ctl","2",1
30,0,83,83,83,2133.333,1216.333,4.07103573549057,"ctl","2",1
31,0,82,82,82,2042.667,1207,4.5663894166543,"ctl","2",1
32,0,100,100,100,1938.667,1152.333,5.13296206273811,"ctl","2",1
